metal_product,diameter,side_size,width,thickness,mark_number
Труба 180х180х6 ГОСТ 32931-2015 С245 ГОСТ 27772-2015,180.0,,,180.0,
Швеллер 18П ГОСТ 8240-97 С235 ГОСТ 27772-2015,,,,,
Уголок 25х3 ГОСТ 8509-93 С235 ГОСТ 27772-2015,,25.0,3.0,8509.0,
Лист 20 09Г2С-15 ГОСТ 19281-89,,2.0,9.0,20.0,
Лист 4 ASTM A240 AISI 316L,,316.0,240.0,4.0,
"Труба бесшовная (SMLS) DN2"" (60.32х3.91) BE ASME B36.19M ASTM A312 TP316L NACE MR0175 ISO 15156",60.32,,,3.91,
"Труба бесшовная (SMLS) DN4"" (114.3х6.02) BE ASME B36.10M ASTM A106 Gr.B NACE MR0175 ISO 15156",114.3,,,6.02,
"Труба бесшовная (SMLS) DN8"" (219.07х8.18) BE ASME B36.10M ASTM A106 Gr.B PWHT NACE MR0175 ISO 15156",219.07,,,8.18,
"Труба бесшовная (SMLS) DN3"" (88.9х5.49) BE ASME B36.19M ASTM A312 TP316/316L NACE MR0175 ISO 15156",88.9,,,5.49,
"Труба бесшовная (SMLS) DN16"" (406.4х16.66) BE ASME B36.19M ASTM A312-TP316/316L",406.4,,,16.66,
Труба 76х3 12Х18Н10Т ГОСТ 9941-81,76.0,,,3.0,
Труба 21х2 12Х18Н10Т ГОСТ 9941-81,21.0,,,2.0,
Труба 27х2 12Х18Н10Т ГОСТ 9941-81,27.0,,,2.0,
Швеллер 10П,,,,,
Круг г/к 36 Ст20 ГОСТ 2590-2006,36.0,,,,
Лист Б-ПН-О 34 09Г2С-12 ГОСТ 5520-2017,,2.0,9.0,34.0,
Лист 5х2000х12000 ГОСТ 19903-2015 Ст3сп5,,12000.0,2000.0,5.0,
Лист 45х1500х6000 09Г2С-12 ГОСТ 5520-2017,,6000.0,1500.0,45.0,
Лист 100х1500х6000 09Г2С-12 ГОСТ 5520-2017,,6000.0,1500.0,100.0,
Лист 18 Ст3сп5 ГОСТ 14637-89,,5.0,3.0,18.0,
Круг 20 ГОСТ 2590-06 Ст35,20.0,,,,
Лист 6х1500х6000 ГОСТ 19903-2015 09Г2С,,6000.0,1500.0,6.0,
Труба 127х4 Ст20 ГОСТ 10705-80,127.0,,,4.0,
ТРУБА 1220Х28 -К60,1220.0,,,28.0,
Труба 426х9 ГОСТ 8732-78 Ст20,426.0,,,9.0,
Труба 630х12 ГОСТ 10704-91 Ст20,630.0,,,12.0,
Труба спиральношовная 1020х8-ст20 API 5l,1020.0,,,8.0,
Труба 108х6 Ст20 ГОСТ 32528-2013,108.0,,,6.0,
ТРУБА СТАЛЬНАЯ Ø89х5-1-С,89.0,,,5.0,
Труба 159х7-1-С ст20 ТУ 14-3Р-77-2004 NACE MR0175,159.0,,,7.0,
Труба 114х3 Ст20 ГОСТ 10705-80,114.0,,,3.0,
Труба 42.3х3.5 Ст3пс ГОСТ 10705-80,42.3,,,3.5,
"ТРУБА 40Х3,5  ГОСТ 3262-75",40.0,,,3.5,
"Труба стальная водогазопроводная неоц. Ду 20 толщ.стенки 2,8 мм",20.0,,,2.8,
"Труба стальная водогазопроводная неоц. Ду 25 толщ.стенки 3,2 мм",25.0,,,3.2,
Труба 25х3.2 Ст20 ГОСТ 3262-75,25.0,,,3.2,
Полоса 4*40 ст.3СП,,,4.0,40.0,
Труба 219х6 ГОСТ 8732-78 В20 ГОСТ 8731-74,219.0,,,6.0,
Труба 89х4 ГОСТ 8732-78 В20 ГОСТ 8731-74,89.0,,,4.0,
Труба 32х3 ГОСТ 8732-78 В20 ГОСТ 8731-74,32.0,,,3.0,
Лист 34 ГОСТ 19903-74 Ст3,,74.0,19903.0,34.0,
Лист 14 ГОСТ 19903-74 С255 ГОСТ 27772-88,,74.0,19903.0,14.0,
Труба стальная электросварная Ø426х8мм,426.0,,,8.0,
Швеллер 14У ГОСТ 8240-89 Ст3сп5,,,,,
Круг 42 ГОСТ 2590-2006 35Х ГОСТ 1050-2013,42.0,,,,
Лист 1.5х1500х6000 AISI 310S,,6000.0,1500.0,1.5,
Труба 57х3.5 Ст3пс ГОСТ 10705-80,57.0,,,3.5,
Труба чугунная SML Ø150,,,,,
Труба 273х6 ГОСТ 10704-78 ВСт3сп ГОСТ 10705-80 с 3-х слойной изоляцией ГОСТ 9.602-2005,273.0,,,6.0,
Труба 159х4.5 ГОСТ 10704-78 ВСт3сп ГОСТ 10705-80 с 3-х слойной изоляцией ГОСТ 9.602-2005,159.0,,,4.5,
Труба 219х6 ГОСТ 10704-91 Ст20 ГОСТ 10705-80,219.0,,,6.0,
Труба 377х6 ГОСТ 10704-71 Ст20 с 3-х слойной изоляцией ГОСТ 9.602-2005,377.0,,,6.0,
Труба 325х5 ГОСТ 10704-71 Ст20 с 3-х слойной изоляцией ГОСТ 9.602-2005,325.0,,,5.0,
Труба 89х3.5 ГОСТ 10704-71 Ст20 с 3-х слойной изоляцией ГОСТ 9.602-2005,89.0,,,3.5,
Труба 108х4 ГОСТ 10704-71 Ст20 с 3-х слойной изоляцией ГОСТ 9.602-2005,108.0,,,4.0,
Арматура  6 А1 ст.3 L=3 м ГОСТ 5781-82,6.0,,,,
Труба 300х12 ГОСТ 10704-91 Ст3,300.0,,,12.0,
Труба 34х5 ГОСТ 10704-91 Ст3,34.0,,,5.0,
Труба 219х8 ГОСТ 10704-91 Ст20,219.0,,,8.0,
Труба 325х10 ГОСТ 10704-91 С245,325.0,,,10.0,
Уголок 80*6,,80.0,80.0,6.0,
Уголок 100*7,,100.0,100.0,7.0,
Уголок 125*10,,125.0,125.0,10.0,
Уголок 100,,,,,
Лист 22х120х120 ГОСТ 19903-74 С245,,120.0,120.0,22.0,
Лист 22х85х85 ГОСТ 19903-74 С245,,85.0,85.0,22.0,
Лист 6х100х220 ГОСТ 19903-74 С245,,220.0,100.0,6.0,
Лист 10х330х200ММ ГОСТ 19903-74 Вст3пс6,,200.0,330.0,10.0,
Труба 50х3.5 Ст3сп ГОСТ 3262-75,50.0,,,3.5,
Швеллер 24П ГОСТ: 8240-97 С255-4,,,,,
Круг 95 ГОСТ 2590-2006 09Г2С-4 ГОСТ 7417-75,95.0,,,,
Круг 105 ГОСТ 2590-2006 09Г2С-4 ГОСТ 7417-75,105.0,,,,
"Труба шовная (EFW) BE 104""х14.27ММ MFR'S STD GB/T 12771 06Cr19Ni10",104.0,,,14.27,
"Труба сварная (DSAW) BE 104""х17.48ММ ASME B36.10M GB/T 713 Q345R",104.0,,,17.48,
"Труба шовная (EFW) BE 112""х14.27ММ MFR'S STD GB/T 12771 06Cr19Ni10",112.0,,,14.27,
"Труба сварная (DSAW) BE 120""х17.48ММ MFR'S STD GB/T 9711 L245",120.0,,,17.48,
"Труба сварная (DSAW) BE 168""х17.48ММ MFR'S STD GB/T 9711 L245",168.0,,,17.48,
Лист Б-ПН-О 8х1500х6000 ГОСТ 19903-2015 Ст3сп5 ГОСТ 14637-89,,6000.0,1500.0,8.0,
Лист Б-ПН-НО-НЛ 3х1500х6000 ГОСТ 19903-2015 Ст3сп5 ГОСТ 14637-89,,6000.0,1500.0,3.0,
Швеллер 6.5П ГОСТ 8240-97 Ст3,,,,,
Арматура ф 10 AIII L=11700,10.0,,,,
"Арматура ф12 А-3 (5,45м)",12.0,,,,
Труба 219х10-1-С ст20 ТУ 14-3Р-77-2004 NACE MR0175,219.0,,,10.0,
Швеллер 20П ГОСТ 8240-97 Ст3,,,,,
Швеллер 12П 12000ММ ГОСТ 535-2005 Ст3пс,,,,,
Труба 377х10 ГОСТ 8732-78 Ст20,377.0,,,10.0,
ПРОФИЛЬ 100Х100Х5  L=854,,100.0,100.0,5.0,
Лист просечно-вытяжной 506х1400х1600ММ С235 ГОСТ 27772-2015,,1600.0,1400.0,506.0,
"Труба защитная для электропроводок 20х2,8",20.0,,,2.8,
"Труба защитная для электропроводок 25х3,2",25.0,,,3.2,
Труба 14х2 09Г2С ГОСТ 9941-81,14.0,,,2.0,
Труба 50х3.5 09Г2С ГОСТ 3262-75,50.0,,,3.5,
Арматура 8 35ГС А-III ГОСТ 5781,8.0,,,,
"Арматура 16мм А-III 35ГС 11,7 м",16.0,,,,
Арматура 10 А-lll 11.7м ст.35ГС,10.0,,,,
Арматура 16 А 1 ГОСТ 5781-82 ст.3сп5,16.0,,,,
Лист 16 ГОСТ 19903-2015 Ст3пс,,2015.0,19903.0,16.0,
Лист 8 ГОСТ 19903-2015 Ст3пс,,2015.0,19903.0,8.0,
Швеллер 12П СТ3СП/ПС,,,,,
Уголок 25х25х3 ст.3 ГОСТ 8509,,25.0,25.0,3.0,
Профиль 100х60х3,,100.0,60.0,3.0,
Лист 6 ГОСТ 19903-74 Ст3пс5,,74.0,19903.0,6.0,
Лист ПВ 406 СТ3ПС5,,5.0,3.0,406.0,
Полоса 4Х100,,,4.0,100.0,
Уголок 63х63х6 - Ст3 мерная длина,,63.0,63.0,6.0,
Швеллер 16П ст.3сп5 ГОСТ 8240-97,,,,,
Уголок 75х75х5мм Ст3 ,,75.0,75.0,5.0,
Швеллер 10П Ст3сп,,,,,
Уголок 63х63х5ММ Ст3 сп мерная длина,,63.0,63.0,5.0,
Уголок 75х75х6 - Ст3 сп мерная длина,,75.0,75.0,6.0,
Труба профильная 150х80х5 ГОСТ 27772-88 С245,,150.0,80.0,5.0,
Уголок 50х50х5 - Ст3сп мерная длина,,50.0,50.0,5.0,
ПОЛОСА 4Х150 ВСТ3ПС5,,,4.0,150.0,
Профиль 120х60х3 ст3пс ГОСТ 8639-82,,120.0,60.0,3.0,
Труба стальная водогазопроводная Dу=50мм,,,,,
"Труба 20х2,8 ГОСТ 3262-78",20.0,,,2.8,
"Труба 32*3,2мм ГОСТ3262-75",32.0,,,3.2,
Труба 1020х12 К56 ГОСТ 31447-2012,1020.0,,,12.0,
ПОЛОСА 4Х150,,,4.0,150.0,
ПОЛОСА 4Х90,,,4.0,90.0,
Уголок 50*50*5 ст 3сп,,50.0,50.0,5.0,
Уголок 63х63х5 - Ст3 мерная длина,,63.0,63.0,5.0,
Лист 16 ГОСТ 19903-74 09Г2С,,74.0,19903.0,16.0,
Лист 36 ГОСТ 19903-90,,90.0,19903.0,36.0,
Труба стальная электросварная прямошовная ∅530х6,530.0,,,6.0,
Труба профилная 80х80х3,80.0,,,80.0,
Арматура 32-А-I Ст3пс ГОСТ 5781-82,32.0,,,,
Арматура 26-А-I Ст3пс ГОСТ 5781-82,26.0,,,,
Арматура 38-А-I Ст3пс ГОСТ 5781-82,38.0,,,,
Лист 10 ГОСТ 19903-2015 Ст3пс,,2015.0,19903.0,10.0,
Лист 4х1500х6000 ГОСТ 19903-2015 Ст3сп5 ГОСТ 14637-89 ГОСТ 380-2005,,6000.0,1500.0,4.0,
Лист 80х1500х6000 ГОСТ 19903-74 17ГС,,6000.0,1500.0,80.0,
Лист 20х1500х6000 ГОСТ 19903-74 45Х,,6000.0,1500.0,20.0,
Круг 22 ГОСТ 2590-2006 09Г2С-4 ГОСТ 7417-75,22.0,,,,
Круг 40 ГОСТ 2590-2006 09Г2С-4 ГОСТ 7417-75,40.0,,,,
Круг 18 ГОСТ 2590-2006 09Г2С-4 ГОСТ 7417-75,18.0,,,,
Круг 25 ГОСТ 2590-2006 09Г2С-4 ГОСТ 7417-75,25.0,,,,
Круг 32 ГОСТ 2590-2006 09Г2С-4 ГОСТ 7417-75,32.0,,,,
Труба 219х5 ГОСТ 8734-75 С245,219.0,,,5.0,
Труба 50х5-С245 ГОСТ 32931-2015 ГОСТ 27772-2015,50.0,,,5.0,
Труба 50х5-ГОСТ 32931-2015 С235 ГОСТ 27772-2015,50.0,,,5.0,
Труба 80х5-ГОСТ 32931-2015 С235 ГОСТ 27772-2015,80.0,,,5.0,
Труба 25х3.2 БСт2кп-БСт4кп ГОСТ 3262-80,25.0,,,3.2,
"Полоса 40*4 стЗсп ГОСТ 103-2006, 535-2005н/д",,,40.0,4.0,
Арматура 16 мм А3,16.0,,,,
Арматура 18 А3 25Г2С 11700,18.0,,,,
Лист 4,,,,,
Лист 5,,,,,
Уголок 63*63*5,,63.0,63.0,5.0,
Лист 20,,,,,
ШВЕЛЛЕР 5П,,,,,
"Профиль 40х40х2,5",,40.0,40.0,2.5,
Лист 10,,,,,
Труба 50х30х3 ГОСТ 30245-2003 Ст3,50.0,,,30.0,
Труба 50х20х2 ГОСТ 30245-2003 Ст3,50.0,,,20.0,
Уголок 40*40*4,,40.0,40.0,4.0,
Уголок 120х120х10 ГОСТ 8240-97 Ст3сп,,120.0,120.0,10.0,
Уголок 125х125х8 12000 ГОСТ 8509-93 Ст3пс5 ГОСТ 535-2005,,125.0,125.0,8.0,
Труба 89*5,89.0,,,5.0,
Уголок,,,,,
Швеллер 10MM,,,,,
Труба 1220х12 ГОСТ 10704-91 Ст20 ТУ 14-3Р-37-2000,1220.0,,,12.0,
Лист 4 ГОСТ 19903-74 Ст3сп5,,74.0,19903.0,4.0,
Лист ПВ 506 ГОСТ 8706-78 Ст3пс5,,78.0,8706.0,506.0,
Уголок 40х40х5 ГОСТ 8509-93 Ст3сп,,40.0,40.0,5.0,
Лист 8 ГОСТ 19903-74 Ст3пс/сп ГОСТ 27772-88,,74.0,19903.0,8.0,
Труба 325х5 ГОСТ 10704-91 Ст20,325.0,,,5.0,
Труба профильная 40х40х4 С245,,40.0,40.0,4.0,
Лист 30,,,,,
"ТРУБА Ø159Х4 ИЗ СТАЛИ 09Г2С (В ТЕПЛОИЗОЛЯЦИИ
 С ПОДГОТОВКОЙПОД ЕЛЕКРООБОГРЕВ)",159.0,,,4.0,
Труба 219х6 ГОСТ 8732-78 Ст20,219.0,,,6.0,
Лист Б-ПН-О 10х1500х6000 ГОСТ 19903-2015 Ст3сп5 ГОСТ 14637-89,,6000.0,1500.0,10.0,
Лист T=4х1500х6500,,6500.0,1500.0,4.0,
Лист Б-ПН-О 4х1500х6000 ГОСТ 19903-2015 345-09Г2С-15-ГС-УЗК2 ГОСТ 19281-2014,,6000.0,1500.0,4.0,
Лист Б-ПН-О 6х1500х6000 ГОСТ 19903-2015 345-09Г2С-15-ГС-УЗК2 ГОСТ 19281-2014,,6000.0,1500.0,6.0,
Лист Б-ПН-О 12х1500х6000 ГОСТ 19903-2015 Ст3сп5 ГОСТ 14637-89,,6000.0,1500.0,12.0,
Лист Б-ПН-О 5х1500х6000 ГОСТ 19903-2015 Ст3сп5 ГОСТ 14637-89,,6000.0,1500.0,5.0,
Лист Б-ПН-О 6х1500х6000 ГОСТ 19903-2015 Ст3сп5 ГОСТ 14637-89,,6000.0,1500.0,6.0,
Лист Б-ПН-О 4х1500х6000 ГОСТ 19903-2015 Ст3сп5 ГОСТ 14637-89,,6000.0,1500.0,4.0,
Лист Б-ПН-О 10х1500х6000 ГОСТ 19903-2015 09Г2С-12 ГОСТ 5520-2017,,6000.0,1500.0,10.0,
Лист Б-ПН-О 16х1500х6000 ГОСТ 19903-2015 06ХН28МДТ,,6000.0,1500.0,16.0,
Лист Б-ПН-О 8х1500х6000 ГОСТ 19903-2015 Ст3сп5 ГОСТ 535-2005,,6000.0,1500.0,8.0,
Лист Б-ПН-О 20х1500х6000 ГОСТ 19903-2015 ВСт3сп5 ГОСТ 14637-89,,6000.0,1500.0,20.0,
Лист Б-ПН-О 12х1500х6000 ГОСТ 19903-2015 03Х16Н15М3,,6000.0,1500.0,12.0,
Лист Б-ПН-О 18х1500х6000 ГОСТ 19903-2015 03Х16Н15М3,,6000.0,1500.0,18.0,
Лист Б-ПН-О 30х1500х6000 ГОСТ 19903-2015 09Г2С-12 ГОСТ 5520-2017,,6000.0,1500.0,30.0,
Лист Б-ПН-О 20х1500х6000 ГОСТ 19903-2015 09Г2С-12 ГОСТ 14637-89,,6000.0,1500.0,20.0,
Лист 28х1500х6000 09Г2С-12 ГОСТ 5520-2017,,6000.0,1500.0,28.0,
Лист 5х1500х6000 ГОСТ 19903-15 Ст3,,6000.0,1500.0,5.0,
Лист 75х1500х6000 ГОСТ 19903-2015 Ст3сп5,,6000.0,1500.0,75.0,
Уголок 63*5,,63.0,63.0,5.0,
Лист 10 ГОСТ 19903-74 Ст20,,74.0,19903.0,10.0,
Труба 219х7 ГОСТ 10704-91 Ст20,219.0,,,7.0,
Труба 32х3 ГОСТ 8732-78 Ст20,32.0,,,3.0,
Труба 159х5 ГОСТ 10704-91 Ст20,159.0,,,5.0,
"Труба 42х2,1",42.0,,,2.1,
Арматура 40 А1,40.0,,,,
Круг 16 ГОСТ 7417-75 Ст3,16.0,,,,
Труба 127х5 ГОСТ 10704-91 Ст3,127.0,,,5.0,
Круг 170 ГОСТ 2590-2006 Ст20 ГОСТ 1050-2013,170.0,,,,
Круг 36 Ст3пс,36.0,,,,
Швеллер 12У.,,,,,
"Труба 2""",,,,,
труба 325*10,325.0,,,10.0,
Профиль 50х50,,,,,
Уголок 50ММ,,,,,
Лист t=20,,,,,
Труба 100х60х3 ГОСТ 13663-86 Ст3сп5,100.0,,,60.0,
УГОЛОК 50Х50Х5-В С245,,50.0,50.0,5.0,
ШВЕЛЛЕР 8П L=1210,,,,,
Уголок 63х5,,63.0,63.0,5.0,
Уголок 140х90х8,,140.0,90.0,8.0,
уголок 75*75 3пс/сп,,75.0,75.0,3.0,
Труба 38х2.5 ГОСТ 10704-91 Ст3,38.0,,,2.5,
Труба 45х2.5 ГОСТ 10704-91 Ст3,45.0,,,2.5,
Арматура 32 А3 25Г2С  11700,32.0,,,,
Швеллер 12У ГОСТ 8240-72 С245 ГОСТ 27772-88,,,,,
Швеллер 20У С245 ГОСТ 8240-97,,,,,
Швеллер 8У ГОСТ 8240-97 С245 ГОСТ 27772-88,,,,,
Лист 6х2000х2000 ГОСТ 8568-77 С235 ГОСТ 27772-88,,2000.0,2000.0,6.0,
Лист 6х2000х1800 ГОСТ 8568-77 С235 ГОСТ 27772-88,,1800.0,2000.0,6.0,
Лист 6х2000х2340 ГОСТ 8568-77 С235 ГОСТ 27772-88,,2340.0,2000.0,6.0,
Лист 6х2200х127 ГОСТ 8568-77 С235 ГОСТ 27772-88,,127.0,2200.0,6.0,
Лист 6х3000х1270 ГОСТ 8568-77 С245 ГОСТ 27772-88,,1270.0,3000.0,6.0,
Лист 6х2460х1270 ГОСТ 8568-77 С235 ГОСТ 27772-88,,1270.0,2460.0,6.0,
Лист 6х1500х6000 ГОСТ 19903-90 С245 ГОСТ 27772-88,,6000.0,1500.0,6.0,
Лист 10х1500х6000 ГОСТ 19903-90 С245 ГОСТ 27772-88,,6000.0,1500.0,10.0,
Лист 14х1500х6000 ГОСТ 19903-90 С245 ГОСТ 27772-88,,6000.0,1500.0,14.0,
Лист 20х1500х6000 ГОСТ 19903-90 С245 ГОСТ 27772-88,,6000.0,1500.0,20.0,
Лист 10х1500х6000 ГОСТ 19903-90 С255 ГОСТ 27772-88,,6000.0,1500.0,10.0,
Лист 12х1500х6000 ГОСТ 19909-90 С255 ГОСТ 27772-88,,6000.0,1500.0,12.0,
Лист 30х1500х6000 ГОСТ 19903-90 С255 ГОСТ 27772-88,,6000.0,1500.0,30.0,
Круг 16 ГОСТ 2590-88 Ст3пс2 ГОСТ 535-88,16.0,,,,
Круг 18 ГОСТ 2590-88 Ст3пс2 ГОСТ 535-88,18.0,,,,
Швеллер горячекатаный 14У ГОСТ 8240-97 С245 ГОСТ 27772-88,,,,,
Лист Б-ПН-О-4-1500-6000 AISI 904L,,6000.0,1500.0,4.0,
Лист Б-ПН-О 14х1500х6000 ГОСТ 19903-2015 Ст3сп5 ГОСТ 14637-89,,6000.0,1500.0,14.0,
Лист Б-ПН-О 12х1500х6000 ГОСТ 19903-74 06ХН28МДТ,,6000.0,1500.0,12.0,
Лист Б-ПН-О 18х1500х6000 ГОСТ 19903-74 06ХН28МДТ,,6000.0,1500.0,18.0,
Лист Б-ПН-О 22х1500х6000 ГОСТ 19903-74 06ХН28МДТ,,6000.0,1500.0,22.0,
Лист Б-ПН-О 20х1500х6000 ГОСТ 19903-2015 Ст3сп5 ГОСТ 14637-89,,6000.0,1500.0,20.0,
Лист Б-ПН-О 16х1500х6000 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 14637-89,,6000.0,1500.0,16.0,
Лист 36х1500х6000 ГОСТ 19903-2015 09Г2С-12 ГОСТ 5520-2017,,6000.0,1500.0,36.0,
ШВЕЛЛЕР 18П С345-3,,,,,
Лист 25 ГОСТ 19903-2015 Ст3пс,,2015.0,19903.0,25.0,
Швеллер 24П ГОСТ 8240-97 Ст3сп,,,,,
Уголок 160х10 09г2с ГОСТ 8509-93,,160.0,10.0,9.0,
Швеллер 27У ГОСТ 8240-97 Ст3сп,,,,,
Труба 40х3.5 БСт2кп-БСт4кп ГОСТ 3262-80,40.0,,,3.5,
Лист 2 ГОСТ 19903-74 Ст3сп5,,74.0,19903.0,2.0,
Труба 50х4 ГОСТ 27772-88 С245,50.0,,,4.0,
Труба 127х5 ГОСТ 10704-91 С245,127.0,,,5.0,
Труба 720х10 ГОСТ 10704-91 С245,720.0,,,10.0,
Труба 273х5 ГОСТ 10704-91 С245,273.0,,,5.0,
Труба 377х5 ГОСТ 10704-91 С245,377.0,,,5.0,
Труба 102х6 С245 ГОСТ 32528-2013,102.0,,,6.0,
Труба 152х6 С245 ГОСТ 32528-2013,152.0,,,6.0,
Лист Б-ПН-О 4х1500х6000 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 7350-77,,6000.0,1500.0,4.0,
КРУГ Ø 10ММ,10.0,,,,
Круг 16 ГОСТ 2590-2006 Ст35 ГОСТ 1050-2013,16.0,,,,
Круг 20 ГОСТ 2590-2006 Ст35 ГОСТ 1050-2013,20.0,,,,
"Круг 18-В , Ст3сп1",18.0,,,,
Круг 12 Ст20 ГОСТ 1050-2013,12.0,,,,
Круг 16 Ст35 ГОСТ 1050-2013,16.0,,,,
Круг 65х6000 Ст20 ГОСТ 1050-2013,65.0,,,,
Круг 12 ГОСТ 2590-06 Ст35,12.0,,,,
Швеллер 20П ГОСТ 8240-97 С255-4,,,,,
Лист Б-ПН-О 8х1500х6000 ASME SA240M 904L,,6000.0,1500.0,8.0,
Лист Б-ПН-О 10х1500х6000 ASME SA240M 904L,,6000.0,1500.0,10.0,
Лист Б-ПН-О 4х1500х6000 ГОСТ 19903-2015 08Х18Н10Т,,6000.0,1500.0,4.0,
Лист Б-ПН-О 12х1500х6000 ГОСТ 19903-2015 09Г2С-12 ГОСТ 5520-2017,,6000.0,1500.0,12.0,
Лист Б-ПН-О 18х1500х6000 ГОСТ 19903-2015 09Г2С-12 ГОСТ 5520-2017,,6000.0,1500.0,18.0,
Лист 24х1500х6000 ГОСТ 19903-2015 06ХН28МДТ,,6000.0,1500.0,24.0,
Лист 8х1500х6000 ГОСТ 19903-2015 08Х18Н10Т ГОСТ 7350-77,,6000.0,1500.0,8.0,
Лист 30х1500х6000 ГОСТ 19903-2015 08Х18Н10Т ГОСТ 7350-77,,6000.0,1500.0,30.0,
Лист 26х1500х6000 ГОСТ 19903-2015 09Г2С-12 ГОСТ 5520-2017,,6000.0,1500.0,26.0,
Лист 40х1500х6000 ГОСТ 19903-2015 09Г2С-12 ГОСТ 5520-2017,,6000.0,1500.0,40.0,
Лист 3х1500х6000 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75,,6000.0,1500.0,3.0,
Лист 4х1500х6000 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75,,6000.0,1500.0,4.0,
Лист 6х1500х6000 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75,,6000.0,1500.0,6.0,
Лист 10х1500х6000 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75,,6000.0,1500.0,10.0,
Лист 16х1500х6000 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75,,6000.0,1500.0,16.0,
Лист 30х1500х6000 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75,,6000.0,1500.0,30.0,
Лист 40х1500х6000 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75,,6000.0,1500.0,40.0,
Лист 6х1500х6000 ГОСТ 19903-2015 14Х17Н2 ГОСТ 5520-2017,,6000.0,1500.0,6.0,
Лист 8х1500х6000 ГОСТ 19903-2015 14Х17Н2 ГОСТ 5520-2017,,6000.0,1500.0,8.0,
Лист 12х1500х6000 ГОСТ 19903-2015 14Х17Н2 ГОСТ 5520-2017,,6000.0,1500.0,12.0,
Лист 30х1500х6000 ГОСТ 19903-2015 14Х17Н2 ГОСТ 5520-2017,,6000.0,1500.0,30.0,
Лист 36х1500х6000 ГОСТ 19903-2015 14Х17Н2 ГОСТ 5520-2017,,6000.0,1500.0,36.0,
Лист 3х1250х2500 ГОСТ 19903-2015 Ст3сп5 ГОСТ 16523-97,,2500.0,1250.0,3.0,
Труба 108х6 В20 ТУ 14-3Р-77-2004,108.0,,,6.0,
Труба 219х7 В20 ТУ 14-3Р-77-2004,219.0,,,7.0,
Труба 219х8 В20 ГОСТ 8731-74,219.0,,,8.0,
Труба 100х100х6 ГОСТ 8639-82 В20,100.0,,,100.0,
Труба 100х100х8 ГОСТ 8639-82 В20,100.0,,,100.0,
Труба 219х7 ГОСТ 8732-78 06ХН28МДТ,219.0,,,7.0,
Труба 100х100х4 ГОСТ 30245-2007 С245,100.0,,,100.0,
Труба 150х150х5 ГОСТ 30245-2007 С245,150.0,,,150.0,
Труба 400х400х7 ГОСТ 30245-2007 С245,400.0,,,400.0,
Уголок 32х32х3 ГОСТ 8509-93 Ст3сп5 ГОСТ 535-2005,,32.0,32.0,3.0,
Уголок 40х40х5 ГОСТ 8509-93 Ст3сп5 ГОСТ 535-2005,,40.0,40.0,5.0,
Уголок 50х50х5 ГОСТ 8509-93 Ст3сп5 ГОСТ 535-2005,,50.0,50.0,5.0,
Уголок 50х50х4 ГОСТ 8509-93 Ст3сп5 ГОСТ 535-2005,,50.0,50.0,4.0,
Уголок 63х63х4 ГОСТ 8509-93 Ст3сп5 ГОСТ 535-2005,,63.0,63.0,4.0,
Уголок 63х63х6 ГОСТ 8509-93 Ст3сп5 ГОСТ 535-2005,,63.0,63.0,6.0,
Уголок 70х70х6 ГОСТ 8509-93 Ст3сп5 ГОСТ 535-2005,,70.0,70.0,6.0,
Уголок 75х75х6 ГОСТ 8509-93 Ст3сп5 ГОСТ 535-2005,,75.0,75.0,6.0,
Уголок 80х80х8 ГОСТ 8509-93 Ст3сп5 ГОСТ 535-2005,,80.0,80.0,8.0,
Уголок 90х56х5.5 ГОСТ 8510-86 Ст3сп5 ГОСТ 535-2005,,90.0,56.0,5.5,
Уголок 90х90х6 ГОСТ 8509-93 Ст3сп5 ГОСТ 535-2005,,90.0,90.0,6.0,
Уголок 100х100х8 ГОСТ 8509-93 Ст3сп5 ГОСТ 535-2005,,100.0,100.0,8.0,
Уголок 100х100х10 ГОСТ 8509-93 Ст3сп5 ГОСТ 535-2005,,100.0,100.0,10.0,
Швеллер 6.5 ГОСТ 8240-97 Ст3сп5,,,,,
Швеллер 8П ГОСТ 8240-97 Ст3сп5,,,,,
Швеллер 10П ГОСТ 8240-97 Ст3сп5,,,,,
Швеллер 12П ГОСТ 8240-97 Ст3сп5,,,,,
Швеллер 18П ГОСТ 8240-97 Ст3сп5,,,,,
Швеллер 20П ГОСТ 8240-97 Ст3сп5,,,,,
Швеллер 22П ГОСТ 8240-97 Ст3сп5,,,,,
Швеллер 30П ГОСТ 8240-97 Ст3сп5,,,,,
Швеллер 40П ГОСТ 8240-97 Ст3сп5,,,,,
Швеллер 16У ГОСТ 8240-97 Ст3сп5,,,,,
Лист 8 ГОСТ 19903-2015 09Г2С-12 ГОСТ 5520-2017,,2015.0,19903.0,8.0,
Круг 12 Ст35 ГОСТ 1050-2013,12.0,,,,
