metal_product,diameter,side_size,width,thickness,mark_number
Труба 273х9 Ст20 ТУ 14-3Р-1128-2007,273.0,,,9.0,
"Труба 32х3,5 ГОСТ 8734-75 В20 ГОСТ 8733-74 с наружным антикоррозионным полиэтиленовым покрытием",32.0,,,3.5,
АРМАТУРА 16 А1,16.0,,,,
Арматура 12 А3,12.0,,,,
Полоса стальная 40х6ММ ГОСТ 14637-89 ст3сп5,,,40.0,6.0,
"Труба медная Ø25,4мм",,,,,
"Труба медная Ø22,2мм",,,,,
"Труба медная Ø34,9мм",,,,,
"Труба медная Ø28,6мм",,,,,
"Труба медная Ø9,53мм",,,,,
"Труба медная Ø6,35мм",,,,,
"Труба медная Ø19,1",,,,,
"Труба медная Ø12,7",,,,,
"Труба медная Ø15,9",,,,,
"Лист металлический гофрированный t=0,53ММ RAL5005",,,,,
"Лист металлический гофрированный t=0,53ММ RAL9003",,,,,
Труба 100х0.63ММ Ст1  RAL 5005  ГОСТ 14918-80 покрытие полимерное,100.0,,,0.63,
"Труба бесшовная (SMLS) с фаской на концах DN 1"" Sch 160 (33.4x6.35) CS BE ASME B36.10 ASTM A106 Gr.B",33.4,,,6.35,
"Труба бесшовная (SMLS) с фаской на концах DN 2"" Sch 160 (60.3x8.74) CS BE ASME B36.10 ASTM A106 Gr.B",60.3,,,8.74,
"Труба бесшовная (SMLS) с фаской на концах DN 3"" Sch 160 (88.9х11.13) CS BE ASME B36.10 ASTM A106 Gr.B",88.9,,,11.13,
"Труба бесшовная (SMLS) с фаской на концах DN 6"" Sch 160 (168.3х18.26) CS BE ASME B36.10 ASTM A106 Gr.B",168.3,,,18.26,
"Труба бесшовная (SMLS) с фаской на концах DN 8"" Sch 160 (219.1х23.01) CS BE ASME B36.10 ASTM A106 Gr.B",219.1,,,23.01,
"Труба бесшовная (SMLS) с фаской на концах DN 8"" Sch 20 (219.1х6.35) CS BE ASME B36.10 ASTM A106 Gr.B",219.1,,,6.35,
"Труба бесшовная (SMLS) с фаской на концах DN 10"" Sch 20 (273х6.35) CS BE ASME B36.10 ASTM A106 Gr.B",273.0,,,6.35,
"Труба бесшовная (SMLS) с фаской на концах DN 12"" Sch 20 (323.8х6.35) CS BE ASME B36.10 ASTM A106 Gr.B",323.8,,,6.35,
"Труба бесшовная (SMLS) с фаской на концах DN 14"" Sch 20 (355.6х7.92) CS BE ASME B36.10 ASTM A106 Gr.B",355.6,,,7.92,
"Труба бесшовная (SMLS) с фаской на концах DN 8"" Sch 20 (219.1х6.35) BE ASME B36.19 ASTM SS A312-TP304/304L",219.1,,,6.35,
"Труба бесшовная (SMLS) с фаской на концах DN 10"" Sch 20 (273х6.35) BE ASME B36.19 ASTM SS A312-TP304/304L",273.0,,,6.35,
"Труба бесшовная (SMLS) с фаской на концах DN 8"" Sch 20 (219.1х6.35) LTCS BE ASME B36.10M ASTM A333 Gr.6",219.1,,,6.35,
"Труба бесшовная (SMLS) с фаской на концах DN 10"" Sch 30 (273х7.80) CS BE ASME B36.10 ASTM A106 Gr.B",273.0,,,7.8,
"Труба бесшовная (SMLS) с фаской на концах DN 12"" Sch 30 (323.8х8.38) CS BE ASME B36.10 ASTM A106 Gr.B",323.8,,,8.38,
"Труба бесшовная (SMLS) с фаской на концах DN 18"" Sch 40 (457х14.27) CS BE ASME B36.10 ASTM A106 Gr.B",457.0,,,14.27,
"Труба бесшовная (SMLS) с фаской на концах DN 20"" Sch 40 (508х15.09) CS BE ASME B36.10 ASTM A106 Gr.B",508.0,,,15.09,
"Труба бесшовная (SMLS) с фаской на концах DN 24"" Sch 40 (610х17.48) CS BE ASME B36.10 ASTM A106 Gr.B",610.0,,,17.48,
"Труба бесшовная (SMLS) с фаской на концах DN 20"" Sch 40 (508х15.09) LTCS BE ASME B36.10M ASTM A333 Gr.6",508.0,,,15.09,
"Труба бесшовная (SMLS) с фаской на концах DN 2"" Sch 80 (60.3x5.54) CS BE ASME B36.10 ASTM A106 Gr.B",60.3,,,5.54,
"Труба бесшовная (SMLS) с фаской на концах DN 8"" Sch STD (219.1х8.18) CS BE ASME B36.10 ASTM A106 Gr.B",219.1,,,8.18,
"Труба бесшовная (SMLS) с фаской на концах DN 10"" Sch STD (273х9.27) CS BE ASME B36.10 ASTM A106 Gr.B",273.0,,,9.27,
"Труба бесшовная (SMLS) с фаской на концах DN 18"" Sch STD (457х9.53) CS BE ASME B36.10 ASTM A106 Gr.B",457.0,,,9.53,
"Труба бесшовная (SMLS) с фаской на концах DN 20"" Sch STD (508х9.53) CS BE ASME B36.10 ASTM A106 Gr.B",508.0,,,9.53,
"Труба бесшовная (SMLS) с фаской на концах DN 6"" Sch STD (168.3х7.11) BE ASME B36.19M ASTM SS A312-TP304/304L",168.3,,,7.11,
"Труба бесшовная (SMLS) с фаской на концах DN 12"" Sch STD (323.8х9.53) BE ASME B36.19M ASTM SS A312-TP304/304L",323.8,,,9.53,
"Труба бесшовная (SMLS) с фаской на концах DN 16"" Sch STD (406.4х9.53) BE ASME B36.19M ASTM SS A312-TP304/304L",406.4,,,9.53,
"Труба бесшовная (SMLS) с фаской на концах DN 2"" Sch STD (60.33х3.91) LTCS BE ASME B36.10M ASTM A333 Gr.6",60.33,,,3.91,
"Труба бесшовная (SMLS) с фаской на концах DN 3"" Sch STD (88.9х5.49) LTCS BE ASME B36.10M ASTM A333 Gr.6",88.9,,,5.49,
"Труба бесшовная (SMLS) с фаской на концах DN 4"" Sch STD (114.3х6.02) LTCS BE ASME B36.10M ASTM A333 Gr.6",114.3,,,6.02,
"Труба бесшовная (SMLS) с фаской на концах DN 6"" Sch STD (168.3х7.11) LTCS BE ASME B36.10M ASTM A333 Gr.6",168.3,,,7.11,
"Труба бесшовная (SMLS) с фаской на концах DN 8"" Sch STD (219.1х8.18) LTCS BE ASME B36.10M ASTM A333 Gr.6",219.1,,,8.18,
"Труба бесшовная (SMLS) с фаской на концах DN 24"" Sch STD (610х9.53) LTCS BE ASME B36.10M ASTM A333 Gr.6",610.0,,,9.53,
"Труба бесшовная (SMLS) с фаской на концах DN 10"" Sch STD (273х9.27) LTCS BE ASME B36.10M ASTM A333 Gr.6",273.0,,,9.27,
"Труба шовная (EFW) с фаской на концах DN 30"" Sch STD (762х9.53) BE ASME B36.10M ASTM LTCS A671-CC60-CL.22",762.0,,,9.53,
